Ende Ablesezeitraum;Messintervall;Abrechnungsmaßeinheit;Verbrauch
2019-01-05T03:30+01:00;QH;KWH;0,02955
2019-01-05T03:45+01:00;QH;KWH;0,02997
2019-01-05T04:00+01:00;QH;KWH;0,03009
2019-01-05T04:15+01:00;QH;KWH;0,09360
2019-01-05T04:30+01:00;QH;KWH;0,10227
2019-01-05T04:45+01:00;QH;KWH;0,04159
2019-01-05T05:00+01:00;QH;KWH;0,07836
2019-01-05T05:15+01:00;QH;KWH;0,02015
2019-01-05T05:30+01:00;QH;KWH;0,04411
2019-01-05T05:45+01:00;QH;KWH;0,03644
2019-01-05T06:00+01:00;QH;KWH;0,04043
2019-01-05T06:15+01:00;QH;KWH;0,03734
2019-01-05T06:30+01:00;QH;KWH;0,03890
2019-01-05T06:45+01:00;QH;KWH;0,04310
2019-01-05T07:00+01:00;QH;KWH;0,01963
2019-01-05T07:15+01:00;QH;KWH;0,03837
2019-01-05T07:30+01:00;QH;KWH;0,02536
2019-01-05T07:45+01:00;QH;KWH;0,02774
2019-01-05T08:00+01:00;QH;KWH;0,02312
2019-01-05T08:15+01:00;QH;KWH;0,02247
2019-01-05T08:30+01:00;QH;KWH;0,02540
2019-01-05T08:45+01:00;QH;KWH;0,03517
2019-01-05T09:00+01:00;QH;KWH;0,03896
2019-01-05T09:15+01:00;QH;KWH;0,07326
2019-01-05T09:30+01:00;QH;KWH;0,03864
2019-01-05T09:45+01:00;QH;KWH;0,03630
2019-01-05T10:00+01:00;QH;KWH;0,06248
2019-01-05T10:15+01:00;QH;KWH;0,07420
2019-01-05T10:30+01:00;QH;KWH;0,06857
2019-01-05T10:45+01:00;QH;KWH;0,08330
2019-01-05T11:00+01:00;QH;KWH;0,06436
2019-01-05T11:15+01:00;QH;KWH;0,06138
2019-01-05T11:30+01:00;QH;KWH;0,07471
2019-01-05T11:45+01:00;QH;KWH;0,07226
2019-01-05T12:00+01:00;QH;KWH;0,05610
2019-01-05T12:15+01:00;QH;KWH;0,01237
2019-01-05T12:30+01:00;QH;KWH;0,15498
2019-01-05T12:45+01:00;QH;KWH;0,09089
2019-01-05T13:00+01:00;QH;KWH;0,10091
2019-01-05T13:15+01:00;QH;KWH;0,07388
2019-01-05T13:30+01:00;QH;KWH;0,04696
2019-01-05T13:45+01:00;QH;KWH;0,11088
2019-01-05T14:00+01:00;QH;KWH;0,04647
2019-01-05T14:15+01:00;QH;KWH;0,03508
2019-01-05T14:30+01:00;QH;KWH;0,03569
2019-01-05T14:45+01:00;QH;KWH;0,05285
2019-01-05T15:00+01:00;QH;KWH;0,09872
2019-01-05T15:15+01:00;QH;KWH;0,05602
2019-01-05T15:30+01:00;QH;KWH;0,04082
2019-01-05T15:45+01:00;QH;KWH;0,04501
2019-01-05T16:00+01:00;QH;KWH;0,04679
